"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd7",0,1.97515168983022,0.994,0.585,0,"0","Cd7"
"Mest",0,1.88621743884367,0.878,0.48,0,"0","Mest"
"Trf",0,1.79845170085865,0.917,0.407,0,"0","Trf"
"Tsc22d1",0,1.76713430245948,0.856,0.488,0,"0","Tsc22d1"
"Cd3g",0,1.62055002825372,0.998,0.778,0,"0","Cd3g"
"Cd3e",0,1.6058781847934,0.992,0.699,0,"0","Cd3e"
"Fermt2",0,1.5740796058192,0.905,0.316,0,"0","Fermt2"
"Cdk11b",0,1.53243148777192,0.883,0.631,0,"0","Cdk11b"
"Ptp4a1",0,1.49911999828759,0.992,0.863,0,"0","Ptp4a1"
"Rgs1",0,1.45216777143214,0.999,0.914,0,"0","Rgs1"
"Tnfrsf9",0,1.44356992518397,0.96,0.7,0,"0","Tnfrsf9"
"Il12rb2",0,1.41516705656544,0.834,0.357,0,"0","Il12rb2"
"Nkg7",0,1.3949415862151,0.987,0.634,0,"0","Nkg7"
"Slc25a3",0,1.3577731863741,0.991,0.956,0,"0","Slc25a3"
"Rgs2",0,1.33954569849471,0.999,0.882,0,"0","Rgs2"
"Amd1",0,1.32342338520889,0.906,0.587,0,"0","Amd1"
"Avil",0,1.31132586072424,0.718,0.235,0,"0","Avil"
"Usmg5",0,1.30728590337498,0.983,0.917,0,"0","Usmg5"
"Crem",0,1.29755079908086,0.994,0.959,0,"0","Crem"
"Dfna5",0,1.28088620283473,0.725,0.288,0,"0","Dfna5"
"Bpnt1",0,1.26056996050151,0.804,0.426,0,"0","Bpnt1"
"Cwc25",0,1.25514521619333,0.731,0.443,0,"0","Cwc25"
"Gem",0,1.23990617843193,0.932,0.647,0,"0","Gem"
"Cd3d",0,1.23911573883967,0.955,0.643,0,"0","Cd3d"
"Areg",0,1.23369123071385,0.751,0.529,0,"0","Areg"
"Ctla2a",0,1.21983158771006,0.995,0.804,0,"0","Ctla2a"
"Dapk2",0,1.21304954381189,0.658,0.239,0,"0","Dapk2"
"Klrd1",0,1.19249485252955,0.77,0.345,0,"0","Klrd1"
"Sult2b1",0,1.1887862279899,0.657,0.277,0,"0","Sult2b1"
"Emd",0,1.17304507812304,0.922,0.733,0,"0","Emd"
"Sytl3",0,1.16770382056078,0.867,0.52,0,"0","Sytl3"
"Cela1",0,1.15394128932044,0.579,0.206,0,"0","Cela1"
"Nap1l5",0,1.15311051780755,0.43,0.168,0,"0","Nap1l5"
"Atp1b1",0,1.14868925595447,0.671,0.256,0,"0","Atp1b1"
"Prkacb",0,1.13040012960395,0.741,0.374,0,"0","Prkacb"
"Cited2",0,1.12787060278207,0.828,0.591,0,"0","Cited2"
"Ssna1",0,1.12078438812375,0.74,0.536,0,"0","Ssna1"
"Zc3h13",0,1.11842226976182,0.788,0.49,0,"0","Zc3h13"
"Map1b",0,1.11495444454204,0.582,0.238,0,"0","Map1b"
"Wbp5",0,1.11301111215351,0.787,0.527,0,"0","Wbp5"
"Anapc2",0,1.11108644689591,0.674,0.401,0,"0","Anapc2"
"Mpp6",0,1.10904348277262,0.781,0.418,0,"0","Mpp6"
"Hk2",0,1.10841041790648,0.782,0.469,0,"0","Hk2"
"Lin54",0,1.10039287905255,0.732,0.376,0,"0","Lin54"
"Matk",0,1.09641676582546,0.617,0.238,0,"0","Matk"
"Ctsw",0,1.09319193601217,0.799,0.409,0,"0","Ctsw"
"Cenpa",0,1.08571817555577,0.801,0.512,0,"0","Cenpa"
"Dnajb6",0,1.07254600258354,0.921,0.831,0,"0","Dnajb6"
"Xcl1",0,1.06966483087733,0.494,0.202,0,"0","Xcl1"
"Igsf8",0,1.06866569830049,0.677,0.392,0,"0","Igsf8"
"Rab4a",0,1.06042287184456,0.756,0.411,0,"0","Rab4a"
"Prkch",0,1.04769439999882,0.666,0.32,0,"0","Prkch"
"Wwc1",0,1.0415603566668,0.499,0.217,0,"0","Wwc1"
"Ngfrap1",0,1.0250344672058,0.77,0.522,0,"0","Ngfrap1"
"Il2rb",0,1.01959948382688,0.967,0.788,0,"0","Il2rb"
"Plscr1",0,1.0180150109254,0.623,0.301,0,"0","Plscr1"
"G3bp2",0,1.01731016627423,0.746,0.521,0,"0","G3bp2"
"Fos",0,1.01636117868608,0.963,0.77,0,"0","Fos"
"Itm2c",0,1.00757712905091,0.889,0.668,0,"0","Itm2c"
"P2ry10",0,1.00746739669078,0.859,0.643,0,"0","P2ry10"
"Ccnd2",0,1.00611113170324,0.961,0.769,0,"0","Ccnd2"
"Calm2",0,1.00515684656815,0.991,0.953,0,"0","Calm2"
"Gucy2c",0,1.00189012198759,0.466,0.153,0,"0","Gucy2c"
"Arf4",0,0.989641241078035,0.802,0.747,0,"0","Arf4"
"Nudt4",0,0.985528821917633,0.808,0.607,0,"0","Nudt4"
"Smchd1",0,0.981991021598835,0.748,0.527,0,"0","Smchd1"
"Fam174b",0,0.980524260018427,0.428,0.162,0,"0","Fam174b"
"Wbscr16",0,0.97322335456445,0.523,0.203,0,"0","Wbscr16"
"Cd96",0,0.972619491370728,0.585,0.252,0,"0","Cd96"
"Pop4",0,0.970480280172881,0.537,0.302,0,"0","Pop4"
"Col27a1",0,0.961211132780403,0.532,0.228,0,"0","Col27a1"
"Cntrob",0,0.959913508500266,0.51,0.184,0,"0","Cntrob"
"Ncoa2",0,0.958105070505565,0.574,0.326,0,"0","Ncoa2"
"Abcb1b",0,0.949057154031555,0.601,0.361,0,"0","Abcb1b"
"Jmy",0,0.946354857614004,0.689,0.394,0,"0","Jmy"
"Tiparp",0,0.945154430516515,0.733,0.488,0,"0","Tiparp"
"Cd2",0,0.943249630183564,0.804,0.478,0,"0","Cd2"
"Slc1a5",0,0.942486541531197,0.677,0.457,0,"0","Slc1a5"
"Myl12a",0,0.93759976177655,0.997,0.969,0,"0","Myl12a"
"Ramp3",0,0.937422556578673,0.977,0.831,0,"0","Ramp3"
"Tpm4",0,0.936682337916353,0.966,0.909,0,"0","Tpm4"
"Hist3h2a",0,0.936017715650296,0.506,0.258,0,"0","Hist3h2a"
"Ppm1g",0,0.935409248533993,0.779,0.581,0,"0","Ppm1g"
"Slc16a10",0,0.934678611977004,0.542,0.281,0,"0","Slc16a10"
"Foxo1",0,0.933952106222492,0.773,0.496,0,"0","Foxo1"
"Crbn",0,0.932259190263504,0.574,0.298,0,"0","Crbn"
"Prkar1a",0,0.930029293046368,0.979,0.892,0,"0","Prkar1a"
"Myo1e",0,0.918828038933357,0.684,0.408,0,"0","Myo1e"
"Tmem123",0,0.909758993110563,0.949,0.779,0,"0","Tmem123"
"Zmat4",0,0.90818868866374,0.417,0.128,0,"0","Zmat4"
"Cd247",0,0.89499907809358,0.687,0.418,0,"0","Cd247"
"BC031181",0,0.892941530163292,0.824,0.69,0,"0","BC031181"
"Pea15a",0,0.89188173087874,0.65,0.455,0,"0","Pea15a"
"Sap18",0,0.877468954462711,0.791,0.72,0,"0","Sap18"
"Isy1",0,0.872756566317867,0.846,0.694,0,"0","Isy1"
"Gnas",0,0.864987114289124,0.99,0.949,0,"0","Gnas"
"Usp36",0,0.851575747125767,0.556,0.31,0,"0","Usp36"
"Vgll4",0,0.845775374950285,0.9,0.697,0,"0","Vgll4"
"Cstb",0,0.845577091676959,0.96,0.898,0,"0","Cstb"
"Ube2j1",0,0.831612923798412,0.804,0.623,0,"0","Ube2j1"
"Klf13",0,0.828664470809227,0.798,0.635,0,"0","Klf13"
"Pld3",0,0.828254960614722,0.837,0.654,0,"0","Pld3"
"Kpna1",0,0.828146723201265,0.654,0.469,0,"0","Kpna1"
"Traf4",0,0.828126724772065,0.632,0.388,0,"0","Traf4"
"Zeb1",0,0.827759948958101,0.78,0.552,0,"0","Zeb1"
"Srsf3",0,0.822369631510333,0.918,0.836,0,"0","Srsf3"
"Park7",0,0.814664839404767,0.779,0.72,0,"0","Park7"
