"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mest",0,1.77572107598966,0.891,0.494,0,"0","Mest"
"Cd7",0,1.72547230569469,0.996,0.603,0,"0","Cd7"
"Trf",0,1.65759204795629,0.92,0.429,0,"0","Trf"
"Tsc22d1",0,1.59234156728996,0.863,0.502,0,"0","Tsc22d1"
"Cdk11b",0,1.47222858415393,0.891,0.64,0,"0","Cdk11b"
"Ptp4a1",0,1.43813926829717,0.994,0.868,0,"0","Ptp4a1"
"Cd3g",0,1.42682485463862,0.998,0.788,0,"0","Cd3g"
"Fermt2",0,1.41870471887954,0.905,0.342,0,"0","Fermt2"
"Cd3e",0,1.41655054246717,0.992,0.712,0,"0","Cd3e"
"Rgs1",0,1.3394895934804,0.999,0.918,0,"0","Rgs1"
"Slc25a3",0,1.32427210675976,0.991,0.957,0,"0","Slc25a3"
"Tnfrsf9",0,1.31932527269989,0.96,0.711,0,"0","Tnfrsf9"
"Il12rb2",0,1.3124111864085,0.837,0.378,0,"0","Il12rb2"
"Amd1",0,1.28817321053076,0.918,0.597,0,"0","Amd1"
"Crem",0,1.23309459238673,0.996,0.96,0,"0","Crem"
"Nkg7",0,1.23111802978475,0.986,0.65,0,"0","Nkg7"
"Cwc25",0,1.22576887279568,0.749,0.45,0,"0","Cwc25"
"Usmg5",0,1.22210504783442,0.984,0.92,0,"0","Usmg5"
"Rgs2",0,1.20022065748596,0.999,0.887,0,"0","Rgs2"
"Bpnt1",0,1.18777994843853,0.815,0.439,0,"0","Bpnt1"
"Avil",0,1.17567463713611,0.713,0.259,0,"0","Avil"
"Areg",0,1.15121728441003,0.753,0.539,0,"0","Areg"
"Dfna5",0,1.14540525168626,0.721,0.309,0,"0","Dfna5"
"Gem",0,1.13235679715243,0.931,0.66,0,"0","Gem"
"Emd",0,1.12877151402105,0.925,0.74,0,"0","Emd"
"Cd3d",0,1.12852497814619,0.954,0.657,0,"0","Cd3d"
"Ctla2a",0,1.1274511720817,0.996,0.812,0,"0","Ctla2a"
"Sytl3",0,1.12239124885808,0.868,0.535,0,"0","Sytl3"
"Sult2b1",0,1.10521978880233,0.66,0.293,0,"0","Sult2b1"
"Klrd1",0,1.08684688087564,0.767,0.365,0,"0","Klrd1"
"Anapc2",0,1.08647647468945,0.692,0.408,0,"0","Anapc2"
"Dapk2",0,1.08258242911926,0.651,0.26,0,"0","Dapk2"
"Cited2",0,1.08223089684807,0.834,0.6,0,"0","Cited2"
"Map1b",0,1.08068526332822,0.591,0.25,0,"0","Map1b"
"Ssna1",0,1.0791326576956,0.745,0.544,0,"0","Ssna1"
"Wbp5",0,1.07725072970276,0.797,0.536,0,"0","Wbp5"
"Cela1",0,1.07668617039907,0.582,0.223,0,"0","Cela1"
"Atp1b1",0,1.07389461437591,0.676,0.273,0,"0","Atp1b1"
"Hk2",0,1.06321425158827,0.788,0.482,0,"0","Hk2"
"Prkacb",0,1.06195769186702,0.744,0.39,0,"0","Prkacb"
"Dnajb6",0,1.04750012839456,0.924,0.834,0,"0","Dnajb6"
"Lin54",0,1.04401299671819,0.738,0.39,0,"0","Lin54"
"Zc3h13",0,1.04375994368169,0.79,0.503,0,"0","Zc3h13"
"Matk",0,1.03008329298604,0.623,0.254,0,"0","Matk"
"Xcl1",0,1.02978608216825,0.506,0.211,0,"0","Xcl1"
"Ctsw",0,1.00399653752148,0.799,0.427,0,"0","Ctsw"
"Igsf8",0,0.992021150789743,0.676,0.404,0,"0","Igsf8"
"Wwc1",0,0.991029266617642,0.506,0.228,0,"0","Wwc1"
"Rab4a",0,0.990335283233072,0.759,0.426,0,"0","Rab4a"
"Calm2",0,0.988364517724184,0.991,0.954,0,"0","Calm2"
"Cenpa",0,0.987619677408802,0.799,0.526,0,"0","Cenpa"
"Ngfrap1",0,0.983640527122311,0.779,0.53,0,"0","Ngfrap1"
"Mpp6",0,0.983105309389409,0.773,0.437,0,"0","Mpp6"
"Prkch",0,0.971266937019206,0.663,0.337,0,"0","Prkch"
"G3bp2",0,0.969890031751752,0.749,0.53,0,"0","G3bp2"
